label	role	sampleA	sampleB	popANI	compared_bases	percent_compared	population_SNPs
T18 gut t106 x T18 vagina t191	cross-site (primary)	SRR6748155	SRR6747944	0.9999350214754024	307794	0.2334071433988018	20
T18 gut t254 x T18 vagina t254	cross-site (independent replicate)	SRR6748111	SRR6748191	0.9998433285958884	89359	0.0677629483582315	14
T18 gut t106 x T18 gut t254	gut lineage persistence	SRR6748155	SRR6748111	0.9997194163860832	35640	0.027026617122924	10
T18 vagina t106 x vagina t254	vaginal positive control	SRR6747940	SRR6748191	1.0	976132	0.7402229468415864	0
T18 gut t106 x T7 vagina	MATCHED-BREADTH negative control	SRR6748155	SRR6748072	0.992126530127164	302916	0.2297080458026844	2385
